log_name,timestamp,id,index,container_id,container_name,log,source
du,2025-09-18 17:43:54,AazCXJkBdI0Tb9Y5R_YQ,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[PHY]   prach_I0 = 31.7 dB,stdout
du,2025-09-18 17:43:54,AqzCXJkBdI0Tb9Y5R_YQ,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[PHY]   prach_I0 = 31.7 dB,stdout
du,2025-09-18 17:43:53,-azCXJkBdI0Tb9Y5QvXe,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 896.0,stdout
du,2025-09-18 17:43:53,-6zCXJkBdI0Tb9Y5QvXe,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 65988704 pps   25036 kbps  970180][tx 73976496 pps   28032 kbps 1892001][Total Msgs_Rcvd 65988704],stdout
du,2025-09-18 17:43:53,_KzCXJkBdI0Tb9Y5QvXe,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61935200 prach0 4053504],stdout
du,2025-09-18 17:43:51,9azCXJkBdI0Tb9Y5PPUM,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 768.0,stdout
du,2025-09-18 17:43:51,96zCXJkBdI0Tb9Y5PPUM,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 65963668 pps   25050 kbps  970391][tx 73948464 pps   28032 kbps 1892001][Total Msgs_Rcvd 65963668],stdout
du,2025-09-18 17:43:51,-KzCXJkBdI0Tb9Y5PPUM,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61911700 prach0 4051968],stdout
du,2025-09-18 17:43:50,8azCXJkBdI0Tb9Y5N_X1,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 640.0,stdout
du,2025-09-18 17:43:50,86zCXJkBdI0Tb9Y5N_X1,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 65938618 pps   25022 kbps  970285][tx 73920432 pps   28032 kbps 1892001][Total Msgs_Rcvd 65938618],stdout
du,2025-09-18 17:43:50,9KzCXJkBdI0Tb9Y5N_X1,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61888186 prach0 4050432],stdout
du,2025-09-18 17:43:49,7azCXJkBdI0Tb9Y5M_Xf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 512.0,stdout
du,2025-09-18 17:43:49,76zCXJkBdI0Tb9Y5M_Xf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 65913596 pps   25018 kbps  969445][tx 73892400 pps   28032 kbps 1892001][Total Msgs_Rcvd 65913596],stdout
du,2025-09-18 17:43:49,8KzCXJkBdI0Tb9Y5M_Xf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61864700 prach0 4048896],stdout
du,2025-09-18 17:43:48,6azCXJkBdI0Tb9Y5LvXf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 384.0,stdout
du,2025-09-18 17:43:48,66zCXJkBdI0Tb9Y5LvXf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 65888578 pps   25032 kbps  969550][tx 73864368 pps   28032 kbps 1892001][Total Msgs_Rcvd 65888578],stdout
du,2025-09-18 17:43:48,7KzCXJkBdI0Tb9Y5LvXf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61841218 prach0 4047360],stdout
du,2025-09-18 17:43:46,5azCXJkBdI0Tb9Y5KPUP,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 256.0,stdout
du,2025-09-18 17:43:46,56zCXJkBdI0Tb9Y5KPUP,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 65863546 pps   25036 kbps  969760][tx 73836336 pps   28032 kbps 1892001][Total Msgs_Rcvd 65863546],stdout
du,2025-09-18 17:43:46,6KzCXJkBdI0Tb9Y5KPUP,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61817722 prach0 4045824],stdout
du,2025-09-18 17:43:45,4azCXJkBdI0Tb9Y5I_X6,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 128.0,stdout
du,2025-09-18 17:43:45,46zCXJkBdI0Tb9Y5I_X6,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 65838510 pps   25022 kbps  970391][tx 73808304 pps   28032 kbps 1892001][Total Msgs_Rcvd 65838510],stdout
du,2025-09-18 17:43:45,5KzCXJkBdI0Tb9Y5I_X6,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61794222 prach0 4044288],stdout
du,2025-09-18 17:43:44,26zCXJkBdI0Tb9Y5H_Xf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 0.0,stdout
